timestamp,open,high,low,close,volume,quote_volume
2026-01-07T08:00:00+00:00,139.3,139.73,136.46,137.85,1636697.7,225706911.857
2026-01-07T12:00:00+00:00,137.85,138.45,135.13,135.59,2453551.7,335666552.34
2026-01-07T16:00:00+00:00,135.59,136.57,134.33,135.66,1527098.5,206820671.683
2026-01-07T20:00:00+00:00,135.66,137.01,134.9,136.32,878870.9,119533841.608
2026-01-08T00:00:00+00:00,136.32,138.23,135.9,136.66,1301059.1,178483887.253
2026-01-08T04:00:00+00:00,136.66,138.29,133.69,135.8,2188711.9,297451548.105
2026-01-08T08:00:00+00:00,135.8,136.14,133.8,134.72,1262035.3,170139639.647
2026-01-08T12:00:00+00:00,134.72,136.46,132.67,136.32,2718110.2,364829092.339
2026-01-08T16:00:00+00:00,136.32,139.0,136.16,137.47,2285558.7,314642012.992
2026-01-08T20:00:00+00:00,137.47,140.03,136.44,138.26,1512726.0,209366040.314
2026-01-09T00:00:00+00:00,138.26,141.11,137.63,140.74,1610823.6,224168140.567
2026-01-09T04:00:00+00:00,140.74,141.0,139.38,139.49,1045739.3,146462387.377
2026-01-09T08:00:00+00:00,139.49,139.64,136.98,138.2,1842828.5,254993464.227
2026-01-09T12:00:00+00:00,138.2,140.89,136.07,138.78,3402865.9,470631193.092
2026-01-09T16:00:00+00:00,138.78,140.21,135.33,135.7,2426417.3,334039512.671
2026-01-09T20:00:00+00:00,135.7,136.36,134.87,135.91,998569.6,135472624.093
2026-01-10T00:00:00+00:00,135.91,136.69,135.59,136.08,588751.4,80169127.928
2026-01-10T04:00:00+00:00,136.08,136.29,135.66,136.04,329468.5,44790128.172
2026-01-10T08:00:00+00:00,136.04,137.04,135.94,136.55,503926.5,68807354.131
2026-01-10T12:00:00+00:00,136.55,137.0,135.97,136.39,452994.3,61783016.555
2026-01-10T16:00:00+00:00,136.39,136.66,135.81,136.18,442545.0,60280988.491
2026-01-10T20:00:00+00:00,136.18,136.22,135.2,135.77,527349.8,71554532.672
2026-01-11T00:00:00+00:00,135.77,136.4,135.67,136.2,346509.6,47162160.764
2026-01-11T04:00:00+00:00,136.2,136.36,135.79,136.11,298762.7,40660258.777
