timestamp,open,high,low,close,volume,quote_volume
2026-06-06T08:00:00+00:00,62.74,63.56,61.13,62.4,2392675.4,148889038.703
2026-06-06T12:00:00+00:00,62.4,63.05,61.26,62.01,2295505.5,143103201.903
2026-06-06T16:00:00+00:00,62.01,62.36,61.32,61.6,1744470.8,107821304.831
2026-06-06T20:00:00+00:00,61.6,62.33,61.3,62.16,1282483.1,79211939.151
2026-06-07T00:00:00+00:00,62.16,64.19,61.91,63.78,2008596.6,126945098.613
2026-06-07T04:00:00+00:00,63.78,64.97,63.26,64.87,1327670.3,85445206.288
2026-06-07T08:00:00+00:00,64.87,66.06,64.38,64.99,2152270.4,140163213.57
2026-06-07T12:00:00+00:00,64.99,65.29,63.58,64.92,2189113.6,140863538.693
2026-06-07T16:00:00+00:00,64.92,65.56,63.55,63.89,1735141.4,112152353.543
2026-06-07T20:00:00+00:00,63.89,67.91,63.67,66.45,4137691.1,274000285.438
2026-06-08T00:00:00+00:00,66.45,67.06,65.35,66.31,1688612.1,111880766.571
2026-06-08T04:00:00+00:00,66.31,66.37,64.92,66.07,1171694.0,76852160.245
2026-06-08T08:00:00+00:00,66.07,67.03,65.4,66.64,1550205.9,102686133.309
2026-06-08T12:00:00+00:00,66.64,67.79,65.95,67.14,2238783.9,149852272.073
2026-06-08T16:00:00+00:00,67.14,67.79,66.5,67.42,1580113.5,106178870.061
2026-06-08T20:00:00+00:00,67.42,68.15,66.6,66.78,1638093.8,110255511.789
2026-06-09T00:00:00+00:00,66.78,66.84,65.23,65.99,1861672.7,122514945.437
2026-06-09T04:00:00+00:00,65.99,67.46,65.78,66.87,1865789.4,124737495.338
2026-06-09T08:00:00+00:00,66.87,66.9,65.85,66.08,1534011.0,101695549.165
2026-06-09T12:00:00+00:00,66.08,66.48,64.23,64.29,2878838.2,187977560.715
2026-06-09T16:00:00+00:00,64.29,65.63,63.5,65.38,2756639.6,178055265.727
2026-06-09T20:00:00+00:00,65.38,65.67,64.66,64.94,848257.2,55254156.7
2026-06-10T00:00:00+00:00,64.94,65.26,64.2,64.48,725763.0,46985194.004
2026-06-10T04:00:00+00:00,64.48,64.73,63.78,64.46,860608.3,55270404.371
2026-06-10T08:00:00+00:00,64.46,64.49,62.88,63.46,2325909.0,147636732.584
2026-06-10T12:00:00+00:00,63.46,65.76,63.26,65.41,4047404.6,261790970.536
2026-06-10T16:00:00+00:00,65.41,65.45,63.32,63.51,2321436.5,148977832.898
2026-06-10T20:00:00+00:00,63.51,63.62,62.3,63.15,1703709.6,107149752.44
2026-06-11T00:00:00+00:00,63.15,65.49,63.15,65.24,3035403.2,196175733.263
2026-06-11T04:00:00+00:00,65.24,65.41,64.73,65.03,970701.9,63183144.069
2026-06-11T08:00:00+00:00,65.03,66.29,64.99,65.86,1672815.6,109703938.192
2026-06-11T12:00:00+00:00,65.86,65.9,64.88,65.52,2434993.0,159143021.546
2026-06-11T16:00:00+00:00,65.52,67.36,65.01,66.9,2898850.0,192479219.711
2026-06-11T20:00:00+00:00,66.9,67.13,66.34,66.88,852353.1,56939690.097
2026-06-12T00:00:00+00:00,66.88,67.28,66.37,67.0,1065596.0,71164054.494
2026-06-12T04:00:00+00:00,67.0,67.22,65.9,66.27,1034940.8,68736426.265
2026-06-12T08:00:00+00:00,66.27,67.46,66.27,66.89,1053612.5,70547809.013
2026-06-12T12:00:00+00:00,66.89,68.8,66.32,67.2,3589555.4,242447524.65
2026-06-12T16:00:00+00:00,67.2,68.19,66.64,66.74,1539391.1,103642581.552
2026-06-12T20:00:00+00:00,66.74,66.99,66.38,66.78,841719.9,56081822.434
2026-06-13T00:00:00+00:00,66.78,67.47,66.64,66.84,723607.7,48497700.369
2026-06-13T04:00:00+00:00,66.84,67.49,66.5,67.32,954761.6,63982792.161
